"prot_id" "length" "nr_p"
"5009" "ENSP00000299259" 450 12
"5010" "ENSP00000299290" 351 35
"5011" "ENSP00000299295" 273 16
"5012" "ENSP00000299299" 104 2
"5013" "ENSP00000299300" 535 12
"5014" "ENSP00000299308" 1078 59
"5015" "ENSP00000299314" 1256 64
"5016" "ENSP00000299320" 520 48
"5017" "ENSP00000299335" 276 24
"5018" "ENSP00000299338" 508 22
"5019" "ENSP00000299339" 228 5
"5020" "ENSP00000299340" 154 20
"5021" "ENSP00000299367" 752 42
"5022" "ENSP00000299413" 344 11
"5023" "ENSP00000299415" 153 6
"5024" "ENSP00000299424" 218 23
"5025" "ENSP00000299427" 563 44
"5026" "ENSP00000299432" 460 38
"5027" "ENSP00000299440" 1043 52
"5028" "ENSP00000299441" 3298 310
"5029" "ENSP00000299443" 584 17
"5030" "ENSP00000299454" 317 18
"5031" "ENSP00000299459" 308 12
"5032" "ENSP00000299481" 1093 33
"5033" "ENSP00000299492" 876 51
"5034" "ENSP00000299505" 1070 93
"5035" "ENSP00000299518" 366 17
"5036" "ENSP00000299529" 137 3
"5037" "ENSP00000299563" 708 57
"5038" "ENSP00000299565" 468 20
"5039" "ENSP00000299575" 823 62
"5040" "ENSP00000299578" 395 34
"5041" "ENSP00000299601" 666 26
"5042" "ENSP00000299608" 454 16
"5043" "ENSP00000299626" 526 27
"5044" "ENSP00000299633" 203 12
"5045" "ENSP00000299638" 368 20
"5046" "ENSP00000299642" 206 5
"5047" "ENSP00000299663" 219 8
"5048" "ENSP00000299665" 215 10
"5049" "ENSP00000299687" 2248 85
"5050" "ENSP00000299697" 265 17
"5051" "ENSP00000299698" 1454 85
"5052" "ENSP00000299705" 217 8
"5053" "ENSP00000299709" 435 27
"5054" "ENSP00000299721" 160 3
"5055" "ENSP00000299727" 349 21
"5056" "ENSP00000299732" 347 10
"5057" "ENSP00000299736" 272 25
"5058" "ENSP00000299752" 829 77
"5059" "ENSP00000299759" 308 12
"5060" "ENSP00000299766" 332 8
"5061" "ENSP00000299767" 803 23
"5062" "ENSP00000299798" 896 47
"5063" "ENSP00000299821" 606 51
"5064" "ENSP00000299824" 567 26
"5065" "ENSP00000299847" 412 25
"5066" "ENSP00000299853" 708 43
"5067" "ENSP00000299855" 477 37
"5068" "ENSP00000299866" 213 5
"5069" "ENSP00000299871" 629 27
"5070" "ENSP00000299882" 457 30
"5071" "ENSP00000299886" 980 47
"5072" "ENSP00000299952" 410 33
"5073" "ENSP00000299957" 436 23
"5074" "ENSP00000299977" 891 45
"5075" "ENSP00000300006" 204 9
"5076" "ENSP00000300026" 216 8
"5077" "ENSP00000300030" 160 9
"5078" "ENSP00000300035" 111 9
"5079" "ENSP00000300051" 507 24
"5080" "ENSP00000300055" 522 44
"5081" "ENSP00000300056" 247 8
"5082" "ENSP00000300057" 268 38
"5083" "ENSP00000300060" 967 46
"5084" "ENSP00000300061" 649 35
"5085" "ENSP00000300069" 209 18
"5086" "ENSP00000300079" 333 15
"5087" "ENSP00000300086" 399 25
"5088" "ENSP00000300087" 182 10
"5089" "ENSP00000300093" 603 38
"5090" "ENSP00000300098" 404 28
"5091" "ENSP00000300101" 712 38
"5092" "ENSP00000300105" 323 10
"5093" "ENSP00000300107" 633 29
"5094" "ENSP00000300113" 196 8
"5095" "ENSP00000300127" 314 12
"5096" "ENSP00000300128" 444 17
"5097" "ENSP00000300131" 525 55
"5098" "ENSP00000300134" 847 66
"5099" "ENSP00000300145" 246 7
"5100" "ENSP00000300146" 770 77
"5101" "ENSP00000300151" 251 20
"5102" "ENSP00000300175" 212 20
"5103" "ENSP00000300176" 481 63
"5104" "ENSP00000300179" 841 125
"5105" "ENSP00000300181" 395 56
"5106" "ENSP00000300182" 147 8
"5107" "ENSP00000300184" 240 12
"5108" "ENSP00000300190" 200 9
"5109" "ENSP00000300209" 226 13
"5110" "ENSP00000300213" 360 21
"5111" "ENSP00000300215" 721 37
"5112" "ENSP00000300226" 250 24
"5113" "ENSP00000300231" 2803 323
"5114" "ENSP00000300249" 327 20
"5115" "ENSP00000300255" 441 27
"5116" "ENSP00000300258" 215 18
"5117" "ENSP00000300283" 417 23
"5118" "ENSP00000300289" 505 25
"5119" "ENSP00000300291" 227 20
"5120" "ENSP00000300303" 369 24
"5121" "ENSP00000300305" 480 55
"5122" "ENSP00000300403" 747 59
"5123" "ENSP00000300404" 566 37
"5124" "ENSP00000300413" 119 5
"5125" "ENSP00000300433" 159 26
"5126" "ENSP00000300452" 265 20
"5127" "ENSP00000300456" 643 31
"5128" "ENSP00000300504" 336 10
"5129" "ENSP00000300527" 1019 89
"5130" "ENSP00000300557" 103 7
"5131" "ENSP00000300571" 403 20
"5132" "ENSP00000300574" 304 30
"5133" "ENSP00000300575" 132 10
"5134" "ENSP00000300576" 693 34
"5135" "ENSP00000300584" 963 55
"5136" "ENSP00000300589" 1040 45
"5137" "ENSP00000300591" 1114 30
"5138" "ENSP00000300605" 259 14
"5139" "ENSP00000300619" 1191 39
"5140" "ENSP00000300648" 2671 128
"5141" "ENSP00000300650" 703 56
"5142" "ENSP00000300651" 1581 132
"5143" "ENSP00000300658" 320 12
"5144" "ENSP00000300659" 1075 119
"5145" "ENSP00000300688" 103 6
"5146" "ENSP00000300692" 171 5
"5147" "ENSP00000300714" 525 55
"5148" "ENSP00000300738" 792 30
"5149" "ENSP00000300747" 485 30
"5150" "ENSP00000300773" 312 13
"5151" "ENSP00000300778" 317 13
"5152" "ENSP00000300784" 309 16
"5153" "ENSP00000300811" 188 23
"5154" "ENSP00000300850" 1832 141
"5155" "ENSP00000300870" 743 20
"5156" "ENSP00000300873" 70 4
"5157" "ENSP00000300896" 1604 89
"5158" "ENSP00000300900" 312 20
"5159" "ENSP00000300935" 207 2
"5160" "ENSP00000300952" 468 47
"5161" "ENSP00000300954" 755 54
"5162" "ENSP00000300961" 331 48
"5163" "ENSP00000300976" 615 26
"5164" "ENSP00000301012" 400 27
"5165" "ENSP00000301015" 2521 140
"5166" "ENSP00000301019" 546 59
"5167" "ENSP00000301021" 140 5
"5168" "ENSP00000301030" 2663 213
"5169" "ENSP00000301037" 410 27
"5170" "ENSP00000301039" 336 26
"5171" "ENSP00000301046" 142 4
"5172" "ENSP00000301050" 484 34
"5173" "ENSP00000301057" 393 51
"5174" "ENSP00000301061" 389 24
"5175" "ENSP00000301067" 5537 807
"5176" "ENSP00000301068" 183 5
"5177" "ENSP00000301071" 451 20
"5178" "ENSP00000301072" 449 20
"5179" "ENSP00000301141" 494 27
"5180" "ENSP00000301146" 494 27
"5181" "ENSP00000301149" 349 15
"5182" "ENSP00000301159" 246 28
"5183" "ENSP00000301175" 536 29
"5184" "ENSP00000301178" 894 79
"5185" "ENSP00000301180" 1576 104
"5186" "ENSP00000301190" 452 45
"5187" "ENSP00000301200" 148 28
"5188" "ENSP00000301202" 152 14
"5189" "ENSP00000301204" 493 33
"5190" "ENSP00000301215" 670 67
"5191" "ENSP00000301242" 147 10
"5192" "ENSP00000301244" 252 8
"5193" "ENSP00000301246" 106 9
"5194" "ENSP00000301258" 114 4
"5195" "ENSP00000301263" 128 6
"5196" "ENSP00000301272" 282 31
"5197" "ENSP00000301280" 956 67
"5198" "ENSP00000301281" 441 27
"5199" "ENSP00000301286" 1357 32
"5200" "ENSP00000301295" 994 35
"5201" "ENSP00000301305" 647 41
"5202" "ENSP00000301310" 517 22
"5203" "ENSP00000301318" 868 45
"5204" "ENSP00000301327" 412 27
"5205" "ENSP00000301329" 298 13
"5206" "ENSP00000301332" 838 80
"5207" "ENSP00000301336" 401 32
"5208" "ENSP00000301364" 804 48
"5209" "ENSP00000301365" 791 35
"5210" "ENSP00000301391" 264 21
"5211" "ENSP00000301396" 1180 171
"5212" "ENSP00000301399" 485 21
"5213" "ENSP00000301407" 155 20
"5214" "ENSP00000301408" 165 22
"5215" "ENSP00000301420" 262 15
"5216" "ENSP00000301452" 264 12
"5217" "ENSP00000301454" 468 16
"5218" "ENSP00000301455" 406 23
"5219" "ENSP00000301457" 113 12
"5220" "ENSP00000301458" 282 25
"5221" "ENSP00000301459" 523 71
"5222" "ENSP00000301463" 442 21
"5223" "ENSP00000301464" 240 26
"5224" "ENSP00000301466" 522 30
"5225" "ENSP00000301480" 790 23
"5226" "ENSP00000301488" 126 18
"5227" "ENSP00000301522" 198 11
"5228" "ENSP00000301529" 315 14
"5229" "ENSP00000301532" 314 12
"5230" "ENSP00000301547" 671 29
"5231" "ENSP00000301585" 206 11
"5232" "ENSP00000301587" 161 11
"5233" "ENSP00000301599" 159 15
"5234" "ENSP00000301607" 2033 88
"5235" "ENSP00000301633" 165 11
"5236" "ENSP00000301634" 234 15
"5237" "ENSP00000301645" 504 24
"5238" "ENSP00000301653" 473 6
"5239" "ENSP00000301656" 459 6
"5240" "ENSP00000301659" 445 22
"5241" "ENSP00000301671" 530 36
"5242" "ENSP00000301691" 213 21
"5243" "ENSP00000301698" 402 62
"5244" "ENSP00000301712" 277 25
"5245" "ENSP00000301727" 784 45
"5246" "ENSP00000301729" 302 14
"5247" "ENSP00000301732" 1704 78
"5248" "ENSP00000301738" 234 9
"5249" "ENSP00000301740" 2752 337
"5250" "ENSP00000301744" 424 27
"5251" "ENSP00000301761" 166 10
"5252" "ENSP00000301764" 1140 41
"5253" "ENSP00000301765" 355 71
"5254" "ENSP00000301785" 747 45
"5255" "ENSP00000301788" 172 10
"5256" "ENSP00000301790" 279 29
"5257" "ENSP00000301825" 529 27
"5258" "ENSP00000301831" 1275 63
"5259" "ENSP00000301838" 208 5
"5260" "ENSP00000301873" 1303 134
"5261" "ENSP00000301887" 274 31
"5262" "ENSP00000301891" 550 29
"5263" "ENSP00000301896" 216 20
"5264" "ENSP00000301904" 606 43
"5265" "ENSP00000301908" 176 10
"5266" "ENSP00000301917" 361 25
"5267" "ENSP00000301921" 388 51
"5268" "ENSP00000301924" 493 24
"5269" "ENSP00000301939" 113 6
"5270" "ENSP00000301945" 564 59
"5271" "ENSP00000301956" 577 36
"5272" "ENSP00000301962" 1316 120
"5273" "ENSP00000301972" 859 47
"5274" "ENSP00000302037" 342 26
"5275" "ENSP00000302046" 150 13
"5276" "ENSP00000302051" 775 38
"5277" "ENSP00000302057" 362 14
"5278" "ENSP00000302079" 482 34
"5279" "ENSP00000302100" 323 31
"5280" "ENSP00000302105" 174 8
"5281" "ENSP00000302108" 598 40
"5282" "ENSP00000302111" 238 19
"5283" "ENSP00000302114" 219 7
"5284" "ENSP00000302120" 551 43
"5285" "ENSP00000302144" 183 11
"5286" "ENSP00000302150" 227 10
"5287" "ENSP00000302160" 102 4
"5288" "ENSP00000302177" 520 16
"5289" "ENSP00000302189" 133 11
"5290" "ENSP00000302194" 118 2
"5291" "ENSP00000302199" 309 15
"5292" "ENSP00000302202" 125 3
"5293" "ENSP00000302216" 354 36
"5294" "ENSP00000302222" 456 16
"5295" "ENSP00000302232" 286 25
"5296" "ENSP00000302234" 97 9
"5297" "ENSP00000302251" 348 39
"5298" "ENSP00000302260" 207 17
"5299" "ENSP00000302274" 329 26
"5300" "ENSP00000302276" 286 19
"5301" "ENSP00000302289" 327 16
"5302" "ENSP00000302297" 548 35
"5303" "ENSP00000302310" 333 15
"5304" "ENSP00000302324" 160 13
"5305" "ENSP00000302327" 419 53
"5306" "ENSP00000302393" 381 16
"5307" "ENSP00000302400" 79 31
"5308" "ENSP00000302413" 370 22
"5309" "ENSP00000302422" 314 15
"5310" "ENSP00000302437" 313 20
"5311" "ENSP00000302441" 248 8
"5312" "ENSP00000302456" 288 31
"5313" "ENSP00000302476" 182 17
"5314" "ENSP00000302478" 133 4
"5315" "ENSP00000302485" 153 21
"5316" "ENSP00000302486" 393 29
"5317" "ENSP00000302530" 1085 66
"5318" "ENSP00000302537" 714 51
"5319" "ENSP00000302543" 322 18
"5320" "ENSP00000302548" 255 33
"5321" "ENSP00000302552" 160 14
"5322" "ENSP00000302562" 488 29
"5323" "ENSP00000302564" 233 7
"5324" "ENSP00000302569" 247 14
"5325" "ENSP00000302578" 310 30
"5326" "ENSP00000302579" 688 39
"5327" "ENSP00000302586" 623 26
"5328" "ENSP00000302599" 359 19
"5329" "ENSP00000302603" 456 18
"5330" "ENSP00000302606" 314 10
"5331" "ENSP00000302620" 392 25
"5332" "ENSP00000302621" 347 25
"5333" "ENSP00000302625" 843 69
"5334" "ENSP00000302629" 882 61
"5335" "ENSP00000302630" 465 40
"5336" "ENSP00000302640" 764 39
"5337" "ENSP00000302647" 2083 124
"5338" "ENSP00000302648" 197 12
"5339" "ENSP00000302657" 468 36
"5340" "ENSP00000302665" 195 11
"5341" "ENSP00000302676" 433 14
"5342" "ENSP00000302716" 4493 489
"5343" "ENSP00000302719" 404 21
"5344" "ENSP00000302724" 135 5
"5345" "ENSP00000302728" 651 37
"5346" "ENSP00000302756" 408 50
"5347" "ENSP00000302768" 479 41
"5348" "ENSP00000302770" 475 51
"5349" "ENSP00000302783" 145 7
"5350" "ENSP00000302790" 1125 47
"5351" "ENSP00000302801" 477 26
"5352" "ENSP00000302805" 396 20
"5353" "ENSP00000302811" 350 17
"5354" "ENSP00000302814" 325 32
"5355" "ENSP00000302830" 396 17
"5356" "ENSP00000302833" 306 8
"5357" "ENSP00000302836" 260 27
"5358" "ENSP00000302843" 358 16
"5359" "ENSP00000302846" 488 24
"5360" "ENSP00000302851" 602 40
"5361" "ENSP00000302855" 542 36
"5362" "ENSP00000302863" 324 12
"5363" "ENSP00000302867" 312 13
"5364" "ENSP00000302886" 394 12
"5365" "ENSP00000302895" 1704 67
"5366" "ENSP00000302896" 194 7
"5367" "ENSP00000302898" 309 20
"5368" "ENSP00000302913" 790 94
"5369" "ENSP00000302918" 217 13
"5370" "ENSP00000302924" 202 24
"5371" "ENSP00000302935" 1332 111
"5372" "ENSP00000302936" 96 4
"5373" "ENSP00000302938" 93 9
"5374" "ENSP00000302961" 840 43
"5375" "ENSP00000302967" 428 21
"5376" "ENSP00000302978" 288 24
"5377" "ENSP00000303015" 482 19
"5378" "ENSP00000303028" 229 10
"5379" "ENSP00000303042" 818 58
"5380" "ENSP00000303057" 212 10
"5381" "ENSP00000303058" 986 56
"5382" "ENSP00000303061" 111 17
"5383" "ENSP00000303070" 90 2
"5384" "ENSP00000303076" 309 9
"5385" "ENSP00000303077" 421 18
"5386" "ENSP00000303096" 315 12
"5387" "ENSP00000303111" 316 11
"5388" "ENSP00000303129" 419 17
"5389" "ENSP00000303145" 219 8
"5390" "ENSP00000303147" 395 15
"5391" "ENSP00000303148" 190 4
"5392" "ENSP00000303149" 375 26
"5393" "ENSP00000303151" 318 17
"5394" "ENSP00000303153" 1626 267
"5395" "ENSP00000303158" 538 40
"5396" "ENSP00000303174" 532 27
"5397" "ENSP00000303192" 803 34
"5398" "ENSP00000303206" 166 6
"5399" "ENSP00000303208" 692 39
"5400" "ENSP00000303211" 617 57
"5401" "ENSP00000303212" 775 34
"5402" "ENSP00000303222" 303 14
"5403" "ENSP00000303231" 253 18
"5404" "ENSP00000303234" 324 28
"5405" "ENSP00000303246" 555 25
"5406" "ENSP00000303252" 1209 78
"5407" "ENSP00000303276" 161 13
"5408" "ENSP00000303315" 347 32
"5409" "ENSP00000303325" 465 24
"5410" "ENSP00000303356" 244 10
"5411" "ENSP00000303366" 356 19
"5412" "ENSP00000303373" 130 5
"5413" "ENSP00000303394" 150 10
"5414" "ENSP00000303398" 904 52
"5415" "ENSP00000303423" 379 23
"5416" "ENSP00000303424" 359 18
"5417" "ENSP00000303427" 1337 68
"5418" "ENSP00000303434" 1042 57
"5419" "ENSP00000303437" 514 35
"5420" "ENSP00000303452" 242 19
"5421" "ENSP00000303468" 513 28
"5422" "ENSP00000303469" 316 15
"5423" "ENSP00000303482" 257 16
"5424" "ENSP00000303490" 638 33
"5425" "ENSP00000303507" 1271 81
"5426" "ENSP00000303508" 597 38
"5427" "ENSP00000303511" 980 85
"5428" "ENSP00000303522" 407 21
"5429" "ENSP00000303525" 237 3
"5430" "ENSP00000303532" 64 7
"5431" "ENSP00000303533" 319 8
"5432" "ENSP00000303540" 2009 75
"5433" "ENSP00000303549" 336 8
"5434" "ENSP00000303550" 136 15
"5435" "ENSP00000303570" 441 17
"5436" "ENSP00000303575" 350 15
"5437" "ENSP00000303580" 191 5
"5438" "ENSP00000303584" 214 14
"5439" "ENSP00000303634" 963 63
"5440" "ENSP00000303686" 410 27
"5441" "ENSP00000303696" 555 17
"5442" "ENSP00000303706" 524 42
"5443" "ENSP00000303709" 193 14
"5444" "ENSP00000303754" 370 17
"5445" "ENSP00000303758" 1076 51
"5446" "ENSP00000303766" 453 32
"5447" "ENSP00000303769" 1439 178
"5448" "ENSP00000303775" 393 13
"5449" "ENSP00000303777" 312 15
"5450" "ENSP00000303822" 345 14
"5451" "ENSP00000303830" 1382 82
"5452" "ENSP00000303834" 324 12
"5453" "ENSP00000303862" 303 18
"5454" "ENSP00000303864" 310 9
"5455" "ENSP00000303887" 783 51
"5456" "ENSP00000303908" 349 18
"5457" "ENSP00000303909" 859 47
"5458" "ENSP00000303915" 486 15
"5459" "ENSP00000303920" 189 11
"5460" "ENSP00000303928" 1395 65
"5461" "ENSP00000303939" 223 16
"5462" "ENSP00000303942" 177 13
"5463" "ENSP00000303960" 1582 61
"5464" "ENSP00000303963" 263 13
"5465" "ENSP00000303987" 202 15
"5466" "ENSP00000303992" 400 17
"5467" "ENSP00000303997" 602 23
"5468" "ENSP00000303999" 129 10
"5469" "ENSP00000304004" 350 48
"5470" "ENSP00000304032" 213 16
"5471" "ENSP00000304051" 664 20
"5472" "ENSP00000304060" 316 11
"5473" "ENSP00000304065" 209 33
"5474" "ENSP00000304071" 177 14
"5475" "ENSP00000304077" 348 13
"5476" "ENSP00000304078" 1011 59
"5477" "ENSP00000304102" 327 11
"5478" "ENSP00000304108" 826 50
"5479" "ENSP00000304127" 436 15
"5480" "ENSP00000304133" 617 42
"5481" "ENSP00000304139" 392 42
"5482" "ENSP00000304147" 252 13
"5483" "ENSP00000304169" 324 27
"5484" "ENSP00000304188" 309 10
"5485" "ENSP00000304192" 2341 110
"5486" "ENSP00000304226" 1215 85
"5487" "ENSP00000304229" 126 7
"5488" "ENSP00000304234" 948 59
"5489" "ENSP00000304235" 311 14
"5490" "ENSP00000304236" 375 30
"5491" "ENSP00000304250" 367 44
"5492" "ENSP00000304268" 829 28
"5493" "ENSP00000304277" 202 4
"5494" "ENSP00000304283" 192 15
"5495" "ENSP00000304286" 378 53
"5496" "ENSP00000304290" 501 42
"5497" "ENSP00000304292" 1050 49
"5498" "ENSP00000304327" 184 20
"5499" "ENSP00000304331" 264 29
"5500" "ENSP00000304336" 89 3
"5501" "ENSP00000304353" 140 8
"5502" "ENSP00000304355" 140 2
"5503" "ENSP00000304360" 804 40
"5504" "ENSP00000304364" 318 11
"5505" "ENSP00000304376" 203 3
"5506" "ENSP00000304408" 1466 281
"5507" "ENSP00000304410" 166 16
"5508" "ENSP00000304419" 357 18
"5509" "ENSP00000304422" 462 44
"5510" "ENSP00000304429" 451 21
"5511" "ENSP00000304437" 1749 161
"5512" "ENSP00000304440" 553 13
"5513" "ENSP00000304467" 689 30
"5514" "ENSP00000304501" 332 13
"5515" "ENSP00000304502" 291 26
"5516" "ENSP00000304553" 179 29
"5517" "ENSP00000304586" 656 36
"5518" "ENSP00000304592" 2511 149
"5519" "ENSP00000304593" 154 11
"5520" "ENSP00000304604" 1481 113
"5521" "ENSP00000304642" 497 29
"5522" "ENSP00000304643" 181 4
"5523" "ENSP00000304669" 906 24
"5524" "ENSP00000304670" 435 19
"5525" "ENSP00000304676" 321 47
"5526" "ENSP00000304689" 314 17
"5527" "ENSP00000304697" 229 9
"5528" "ENSP00000304713" 345 11
"5529" "ENSP00000304762" 159 4
"5530" "ENSP00000304767" 373 14
"5531" "ENSP00000304769" 595 61
"5532" "ENSP00000304782" 571 45
"5533" "ENSP00000304783" 744 40
"5534" "ENSP00000304802" 212 6
"5535" "ENSP00000304807" 325 14
"5536" "ENSP00000304811" 529 26
"5537" "ENSP00000304822" 182 29
"5538" "ENSP00000304845" 533 31
"5539" "ENSP00000304846" 320 18
"5540" "ENSP00000304854" 157 8
"5541" "ENSP00000304891" 226 5
"5542" "ENSP00000304895" 1242 126
"5543" "ENSP00000304903" 341 23
"5544" "ENSP00000304908" 553 66
"5545" "ENSP00000304915" 146 8
"5546" "ENSP00000304923" 367 22
"5547" "ENSP00000304926" 84 4
"5548" "ENSP00000304930" 206 12
"5549" "ENSP00000304941" 697 40
"5550" "ENSP00000304945" 1007 117
"5551" "ENSP00000304956" 1320 177
"5552" "ENSP00000304987" 415 11
"5553" "ENSP00000305005" 426 34
"5554" "ENSP00000305011" 310 12
"5555" "ENSP00000305055" 316 10
"5556" "ENSP00000305069" 271 15
"5557" "ENSP00000305071" 260 18
"5558" "ENSP00000305077" 499 22
"5559" "ENSP00000305107" 665 15
"5560" "ENSP00000305133" 536 30
"5561" "ENSP00000305138" 160 22
"5562" "ENSP00000305151" 755 81
"5563" "ENSP00000305161" 755 53
"5564" "ENSP00000305193" 392 40
"5565" "ENSP00000305204" 745 55
"5566" "ENSP00000305207" 309 12
"5567" "ENSP00000305221" 528 28
"5568" "ENSP00000305230" 86 2
"5569" "ENSP00000305244" 480 60
"5570" "ENSP00000305255" 236 8
"5571" "ENSP00000305260" 340 6
"5572" "ENSP00000305263" 464 6
"5573" "ENSP00000305288" 835 93
"5574" "ENSP00000305302" 634 32
"5575" "ENSP00000305334" 847 34
"5576" "ENSP00000305343" 240 27
"5577" "ENSP00000305355" 673 39
"5578" "ENSP00000305372" 413 12
"5579" "ENSP00000305373" 595 32
"5580" "ENSP00000305403" 340 11
"5581" "ENSP00000305416" 382 12
"5582" "ENSP00000305422" 345 51
"5583" "ENSP00000305424" 312 11
"5584" "ENSP00000305426" 561 31
"5585" "ENSP00000305442" 770 31
"5586" "ENSP00000305449" 707 44
"5587" "ENSP00000305459" 612 42
"5588" "ENSP00000305465" 584 25
"5589" "ENSP00000305469" 325 10
"5590" "ENSP00000305480" 380 17
"5591" "ENSP00000305494" 753 61
"5592" "ENSP00000305529" 387 30
"5593" "ENSP00000305533" 903 29
"5594" "ENSP00000305556" 356 19
"5595" "ENSP00000305595" 397 20
"5596" "ENSP00000305596" 605 26
"5597" "ENSP00000305603" 361 34
"5598" "ENSP00000305613" 134 6
"5599" "ENSP00000305631" 212 9
"5600" "ENSP00000305632" 354 7
"5601" "ENSP00000305640" 308 11
"5602" "ENSP00000305647" 116 3
"5603" "ENSP00000305651" 98 7
"5604" "ENSP00000305653" 739 40
"5605" "ENSP00000305654" 205 3
"5606" "ENSP00000305664" 376 24
"5607" "ENSP00000305675" 425 17
"5608" "ENSP00000305682" 353 21
"5609" "ENSP00000305692" 952 81
"5610" "ENSP00000305696" 343 15
"5611" "ENSP00000305699" 718 13
"5612" "ENSP00000305702" 926 64
"5613" "ENSP00000305714" 986 53
"5614" "ENSP00000305721" 1353 61
"5615" "ENSP00000305725" 352 16
"5616" "ENSP00000305731" 141 6
"5617" "ENSP00000305742" 291 21
"5618" "ENSP00000305766" 322 10
"5619" "ENSP00000305777" 422 23
"5620" "ENSP00000305790" 1217 61
"5621" "ENSP00000305810" 335 9
"5622" "ENSP00000305839" 1008 131
"5623" "ENSP00000305847" 159 4
"5624" "ENSP00000305852" 202 8
"5625" "ENSP00000305875" 205 10
"5626" "ENSP00000305877" 426 23
"5627" "ENSP00000305892" 173 5
"5628" "ENSP00000305899" 885 39
"5629" "ENSP00000305906" 341 66
"5630" "ENSP00000305918" 726 76
"5631" "ENSP00000305919" 476 31
"5632" "ENSP00000305924" 873 44
"5633" "ENSP00000305926" 926 62
"5634" "ENSP00000305941" 5202 373
"5635" "ENSP00000305970" 318 16
"5636" "ENSP00000305974" 670 28
"5637" "ENSP00000305975" 177 15
"5638" "ENSP00000305976" 926 93
"5639" "ENSP00000305988" 583 32
"5640" "ENSP00000305995" 417 18
"5641" "ENSP00000306003" 69 4
"5642" "ENSP00000306010" 180 3
"5643" "ENSP00000306015" 1261 136
"5644" "ENSP00000306070" 316 16
"5645" "ENSP00000306080" 420 27
"5646" "ENSP00000306095" 315 13
"5647" "ENSP00000306099" 491 23
"5648" "ENSP00000306100" 974 64
"5649" "ENSP00000306105" 783 38
"5650" "ENSP00000306106" 183 7
"5651" "ENSP00000306117" 478 18
"5652" "ENSP00000306123" 1393 124
"5653" "ENSP00000306124" 737 37
"5654" "ENSP00000306129" 477 30
"5655" "ENSP00000306138" 1212 67
"5656" "ENSP00000306157" 459 24
"5657" "ENSP00000306163" 360 17
"5658" "ENSP00000306185" 489 36
"5659" "ENSP00000306190" 335 22
"5660" "ENSP00000306220" 131 4
"5661" "ENSP00000306245" 380 35
"5662" "ENSP00000306253" 2743 97
"5663" "ENSP00000306261" 520 9
"5664" "ENSP00000306275" 394 10
"5665" "ENSP00000306320" 100 8
"5666" "ENSP00000306324" 590 80
"5667" "ENSP00000306328" 321 12
"5668" "ENSP00000306330" 247 4
"5669" "ENSP00000306335" 723 47
"5670" "ENSP00000306344" 458 19
"5671" "ENSP00000306361" 866 41
"5672" "ENSP00000306362" 129 3
"5673" "ENSP00000306372" 446 18
"5674" "ENSP00000306390" 290 22
"5675" "ENSP00000306396" 235 19
"5676" "ENSP00000306397" 274 19
"5677" "ENSP00000306410" 1044 36
"5678" "ENSP00000306425" 110 8
"5679" "ENSP00000306449" 613 38
"5680" "ENSP00000306459" 382 23
"5681" "ENSP00000306461" 89 26
"5682" "ENSP00000306473" 672 19
"5683" "ENSP00000306490" 460 31
"5684" "ENSP00000306496" 229 14
"5685" "ENSP00000306497" 445 22
"5686" "ENSP00000306512" 99 5
"5687" "ENSP00000306522" 1673 98
"5688" "ENSP00000306523" 566 70
"5689" "ENSP00000306528" 194 8
"5690" "ENSP00000306548" 178 15
"5691" "ENSP00000306561" 424 32
"5692" "ENSP00000306564" 159 11
"5693" "ENSP00000306565" 181 5
"5694" "ENSP00000306606" 375 20
"5695" "ENSP00000306607" 309 12
"5696" "ENSP00000306614" 177 11
"5697" "ENSP00000306625" 647 76
"5698" "ENSP00000306627" 1177 36
"5699" "ENSP00000306637" 1765 76
"5700" "ENSP00000306651" 310 15
"5701" "ENSP00000306657" 314 11
"5702" "ENSP00000306662" 520 38
"5703" "ENSP00000306670" 211 10
"5704" "ENSP00000306678" 765 41
"5705" "ENSP00000306682" 605 50
"5706" "ENSP00000306688" 311 11
"5707" "ENSP00000306752" 152 5
"5708" "ENSP00000306754" 382 32
"5709" "ENSP00000306756" 421 19
"5710" "ENSP00000306760" 670 8
"5711" "ENSP00000306772" 373 26
"5712" "ENSP00000306776" 833 21
"5713" "ENSP00000306788" 203 7
"5714" "ENSP00000306817" 322 12
"5715" "ENSP00000306822" 362 25
"5716" "ENSP00000306844" 833 59
"5717" "ENSP00000306864" 673 75
"5718" "ENSP00000306866" 117 7
"5719" "ENSP00000306869" 499 18
"5720" "ENSP00000306881" 765 50
"5721" "ENSP00000306884" 94 4
"5722" "ENSP00000306887" 195 10
"5723" "ENSP00000306888" 585 36
"5724" "ENSP00000306894" 510 71
"5725" "ENSP00000306900" 176 5
"5726" "ENSP00000306906" 153 11
"5727" "ENSP00000306918" 938 77
"5728" "ENSP00000306920" 677 53
"5729" "ENSP00000306968" 450 23
"5730" "ENSP00000306974" 311 12
"5731" "ENSP00000306983" 1422 114
"5732" "ENSP00000306991" 552 12
"5733" "ENSP00000306997" 264 27
"5734" "ENSP00000306999" 601 33
"5735" "ENSP00000307004" 511 32
"5736" "ENSP00000307014" 540 10
"5737" "ENSP00000307023" 512 53
"5738" "ENSP00000307041" 994 71
"5739" "ENSP00000307046" 201 10
"5740" "ENSP00000307078" 963 18
